,shape of the cross section,dimensions ,span length of specimen,grade of concrete(Mpa),yield strength of the steel (Mpa),Rx2,scaled stand off distance,axial load ratio,confinement,peak deformation (mm)
0,square,200,2500,47.46,484.74,1,0.4585660630993199,0.0,0.82,41.8
1,square,200,2500,47.46,484.74,1,0.4585660630993199,0.05,0.82,41.6
2,square,200,2500,47.46,484.74,1,0.4585660630993199,0.1,0.82,41.5
3,square,200,2500,47.46,484.74,1,0.4585660630993199,0.15,0.82,40.8
4,square,200,2500,47.46,484.74,1,0.4585660630993199,0.2,0.82,40.8
5,square,200,2500,47.46,484.74,1,0.4585660630993199,0.25,0.82,40.8
6,square,200,2500,47.46,484.74,1,0.4585660630993199,0.3,0.82,40.8
7,square,200,2500,47.46,484.74,1,0.4585660630993199,0.4,0.82,41.5
8,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,0.95,41.0
9,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,0.9,43.0
10,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,0.8,44.5
11,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,0.7,47.0
12,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,0.6,54.0
13,square,200,2500,47.46,484.74,1,0.5,0.14,0.82,41.7
14,square,200,2500,47.46,484.74,1,0.62,0.14,0.82,24.0
15,square,200,2500,47.46,484.74,1,0.7,0.14,0.82,22.0
16,square,200,2500,47.46,484.74,1,0.8,0.14,0.82,19.0
17,square,200,2500,47.46,484.74,1,0.85,0.14,0.82,16.0
18,square,200,2500,47.46,484.74,1,1.05,0.14,0.82,10.0
19,square,200,2500,47.46,484.74,1,1.2,0.14,0.82,10.0
20,square,200,2500,47.46,484.74,1,1.3,0.14,0.82,8.0
21,square,200,2500,47.46,484.74,1,1.5,0.14,0.82,5.0
22,square,200,2500,47.46,484.74,1,1.7,0.14,0.82,5.0
23,square,200,2500,47.46,484.74,1,1.85,0.14,0.82,2.0
24,square,200,2500,47.46,484.74,1,3.8,0.14,0.82,0.0
25,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,1.0,41.0
26,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,1.1,39.0
27,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,1.2,38.0
28,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,1.3,37.0
29,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,1.4,35.0
30,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,1.5,34.0
31,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,1.6,32.5
32,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,1.7,31.0
33,square,200,2500,47.46,484.74,1,0.4585660630993199,0.14,1.0,30.0
36,circle,194,2500,47.4,471.9,1,0.5129927840030092,0.4,0.8463455384702518,24.1
38,square,200,2500,47.4,484.7,1,0.4585660630993199,0.4,0.8410780499388094,36.2
40,circle,203,1900,46.0,318.5,0,0.14,0.0,0.9216457650934193,16.0
41,circle,203,1900,46.0,318.5,0,0.14,0.0,0.9216457650934193,22.0
42,circle,203,1900,46.0,318.5,0,0.12,0.0,0.9216457650934193,43.0
43,circle,203,1900,46.0,318.5,0,0.13,0.0,0.9216457650934193,56.0
45,square,100,660,36.5,343.0,0,0.09629283927770894,0.0,0.5998251238705916,2.8
46,square,100,660,33.1,343.0,0,0.09629283927770894,0.0,0.6614385807032204,4.2
47,square,100,660,31.8,343.0,0,0.09629283927770894,0.0,0.688478522681654,6.2
48,square,100,660,29.5,343.0,0,0.09629283927770894,0.0,0.7421565091958168,8.2
49,square,100,660,28.3,343.0,0,0.09629283927770894,0.0,0.77362604315465,10.0
50,square,100,660,29.5,354.0,0,0.09629283927770894,0.0,1.0434782608695652,7.2
51,square,100,660,29.5,352.0,0,0.09629283927770894,0.0,1.3258003766478343,5.8
52,square,100,660,29.5,358.0,0,0.09629283927770894,0.0,3.0338983050847457,4.2
53,square,100,720,29.5,343.0,0,0.09629283927770894,0.0,0.7421565091958168,9.0
54,square,100,780,29.5,343.0,0,0.09629283927770894,0.0,0.7421565091958168,10.2
55,square,100,840,29.5,343.0,0,0.09629283927770894,0.0,0.7421565091958168,12.0
56,square,100,660,29.5,235.0,0,0.09629283927770894,0.0,0.5084745762711864,10.8
57,square,100,660,29.5,390.0,0,0.09629283927770894,0.0,0.8438514244500541,7.0
58,square,100,660,29.5,420.0,0,0.09629283927770894,0.0,0.9087630724846736,5.8
59,square,200,2500,47.46,484.74,1,0.4585660630993199,0.0,0.9,43.97
60,square,200,2500,47.46,484.74,1,0.4585660630993199,0.1,0.9,43.44
61,square,200,2500,47.46,484.74,1,0.4585660630993199,0.2,0.9,42.76
62,square,200,2500,47.46,484.74,1,0.4585660630993199,0.3,0.9,42.52
63,square,200,2500,47.46,484.74,1,0.4585660630993199,0.4,0.9,43.12
64,square,200,2500,47.46,484.74,1,0.4585660630993199,0.5,0.9,43.95
65,square,200,2500,47.46,484.74,1,0.4585660630993199,0.6,0.9,44.66
66,square,200,2500,47.46,484.74,1,0.4585660630993199,0.7,0.9,45.91
